ID,MTH2001,MTH2002,MTH2003,MTH2004
0,Yes,Yes,Yes,Yes
1,Yes,Yes,Yes,Yes
2,Yes,Yes,Yes,Yes
3,Yes,No,Yes,Yes
4,Yes,Yes,Yes,Yes
5,Yes,Yes,Yes,No
6,Yes,No,Yes,Yes
7,Yes,Yes,No,No
8,Yes,No,Yes,Yes
9,Yes,Yes,Yes,No
10,Yes,Yes,Yes,Yes
11,Yes,No,Yes,Yes
12,Yes,Yes,Yes,Yes
13,Yes,Yes,Yes,No
14,Yes,Yes,Yes,Yes
15,Yes,Yes,Yes,Yes
16,Yes,No,Yes,Yes
17,Yes,Yes,Yes,No
18,Yes,No,Yes,Yes
19,Yes,Yes,Yes,Yes
20,Yes,Yes,No,No
21,Yes,No,Yes,Yes
22,Yes,No,Yes,Yes
23,Yes,No,Yes,Yes
24,Yes,Yes,Yes,Yes
25,Yes,Yes,Yes,Yes
26,Yes,Yes,Yes,Yes
27,Yes,Yes,Yes,Yes
28,Yes,Yes,Yes,Yes
29,Yes,Yes,Yes,Yes
30,Yes,No,Yes,Yes
31,Yes,Yes,Yes,Yes
32,Yes,Yes,Yes,Yes
33,Yes,No,Yes,No
34,Yes,Yes,Yes,No
35,Yes,Yes,Yes,No
36,Yes,Yes,No,No
37,Yes,No,Yes,Yes
38,Yes,Yes,Yes,No
39,Yes,No,Yes,Yes
40,Yes,Yes,No,No
41,Yes,Yes,Yes,Yes
42,Yes,No,Yes,Yes
43,Yes,Yes,Yes,Yes
44,Yes,No,Yes,Yes
45,Yes,Yes,Yes,Yes
46,Yes,No,Yes,Yes
47,Yes,No,Yes,Yes
48,Yes,No,Yes,Yes
49,Yes,Yes,Yes,No
50,Yes,No,Yes,Yes
51,Yes,Yes,Yes,Yes
52,Yes,No,Yes,Yes
53,Yes,Yes,Yes,Yes
54,Yes,Yes,Yes,Yes
55,Yes,Yes,Yes,Yes
56,Yes,Yes,Yes,Yes
57,Yes,No,Yes,Yes
58,Yes,Yes,No,No
59,Yes,Yes,Yes,Yes
60,Yes,Yes,Yes,Yes
61,Yes,Yes,Yes,No
62,Yes,Yes,Yes,Yes
63,Yes,Yes,Yes,Yes
64,Yes,Yes,Yes,Yes
65,Yes,Yes,Yes,Yes
66,Yes,Yes,Yes,Yes
67,Yes,No,Yes,Yes
68,Yes,Yes,Yes,Yes
69,Yes,No,Yes,Yes
70,Yes,No,Yes,Yes
71,Yes,Yes,Yes,Yes
72,Yes,No,Yes,Yes
73,Yes,No,Yes,Yes
74,Yes,Yes,Yes,Yes
75,Yes,No,Yes,Yes
76,Yes,Yes,Yes,No
77,Yes,No,Yes,Yes
78,Yes,No,Yes,Yes
79,Yes,Yes,Yes,No
80,Yes,Yes,Yes,No
81,Yes,Yes,Yes,Yes
82,Yes,No,Yes,Yes
83,Yes,Yes,Yes,Yes
84,Yes,No,Yes,Yes
85,Yes,Yes,Yes,Yes
86,Yes,Yes,Yes,Yes
87,Yes,No,Yes,Yes
88,Yes,Yes,Yes,Yes
89,Yes,Yes,Yes,Yes
90,Yes,Yes,Yes,Yes
91,Yes,No,Yes,Yes
92,Yes,No,Yes,Yes
93,Yes,Yes,Yes,Yes
94,Yes,Yes,Yes,Yes
95,Yes,Yes,Yes,Yes
96,Yes,No,Yes,Yes
97,Yes,No,Yes,Yes
98,Yes,No,Yes,Yes
99,Yes,Yes,No,No
100,Yes,Yes,Yes,Yes
101,Yes,Yes,Yes,Yes
102,Yes,No,Yes,Yes
103,Yes,No,Yes,Yes
104,Yes,Yes,Yes,Yes
105,Yes,No,Yes,Yes
106,Yes,No,Yes,Yes
107,Yes,Yes,Yes,Yes
108,Yes,Yes,Yes,No
109,Yes,Yes,Yes,Yes
110,Yes,No,Yes,Yes
111,Yes,Yes,Yes,Yes
112,Yes,Yes,Yes,Yes
113,Yes,No,No,No
114,Yes,No,Yes,Yes
115,Yes,Yes,Yes,Yes
116,Yes,No,Yes,Yes
117,Yes,Yes,Yes,Yes
118,Yes,Yes,Yes,Yes
119,Yes,No,Yes,Yes
120,Yes,Yes,Yes,Yes
121,Yes,No,Yes,Yes
122,Yes,No,Yes,Yes
123,Yes,Yes,Yes,Yes
124,Yes,Yes,Yes,Yes
125,Yes,Yes,Yes,No
126,Yes,Yes,Yes,Yes
127,Yes,Yes,Yes,Yes
128,Yes,Yes,Yes,Yes
129,Yes,Yes,No,No
130,Yes,Yes,Yes,Yes
131,Yes,No,Yes,Yes
132,Yes,Yes,Yes,Yes
133,Yes,Yes,Yes,Yes
134,Yes,Yes,No,No
135,Yes,No,Yes,Yes
136,Yes,Yes,Yes,Yes
137,Yes,Yes,Yes,No
138,Yes,Yes,Yes,Yes
139,Yes,No,Yes,Yes
140,Yes,Yes,Yes,Yes
141,Yes,Yes,Yes,Yes
142,Yes,Yes,No,No
143,Yes,No,Yes,Yes
144,Yes,Yes,Yes,Yes
145,Yes,No,Yes,Yes
146,Yes,Yes,Yes,Yes
147,Yes,No,Yes,Yes
148,Yes,Yes,Yes,Yes
149,Yes,No,Yes,No
150,Yes,No,Yes,Yes
151,Yes,Yes,Yes,Yes
152,Yes,Yes,Yes,Yes
153,Yes,Yes,Yes,Yes
154,Yes,No,Yes,Yes
155,Yes,Yes,Yes,Yes
156,Yes,Yes,No,No
157,Yes,No,Yes,Yes
158,Yes,Yes,Yes,Yes
159,Yes,Yes,Yes,Yes
160,Yes,No,Yes,Yes
161,Yes,Yes,Yes,Yes
162,Yes,No,Yes,Yes
163,Yes,Yes,No,No
164,Yes,No,Yes,Yes
165,Yes,Yes,Yes,Yes
