ID,MTH2001,MTH2002,MTH2003,MTH2004
166,Yes,Yes,Yes,No
167,Yes,Yes,Yes,Yes
168,Yes,No,Yes,Yes
169,Yes,No,Yes,Yes
170,Yes,Yes,Yes,Yes
171,Yes,Yes,Yes,Yes
172,Yes,Yes,Yes,Yes
173,Yes,Yes,Yes,Yes
174,Yes,Yes,Yes,Yes
175,Yes,Yes,Yes,Yes
176,Yes,Yes,Yes,Yes
177,Yes,No,Yes,Yes
178,Yes,Yes,Yes,Yes
179,Yes,Yes,Yes,Yes
180,Yes,Yes,Yes,Yes
181,Yes,No,Yes,Yes
182,Yes,Yes,Yes,Yes
183,Yes,Yes,Yes,Yes
184,Yes,Yes,Yes,Yes
185,Yes,Yes,No,No
186,Yes,Yes,Yes,No
187,Yes,No,Yes,Yes
188,Yes,Yes,Yes,Yes
189,Yes,Yes,Yes,Yes
190,No,Yes,Yes,Yes
191,No,Yes,Yes,Yes
192,No,Yes,Yes,Yes
193,No,Yes,Yes,Yes
194,No,Yes,Yes,Yes
195,No,Yes,Yes,Yes
196,No,Yes,Yes,Yes
197,No,Yes,Yes,Yes
198,No,Yes,Yes,Yes
199,No,Yes,Yes,Yes
200,No,Yes,Yes,Yes
201,No,Yes,No,No
202,No,Yes,Yes,Yes
203,No,Yes,Yes,Yes
204,No,Yes,No,No
205,No,Yes,Yes,Yes
206,No,Yes,Yes,Yes
207,No,Yes,No,No
208,No,Yes,No,No
209,No,Yes,No,No
210,No,Yes,Yes,Yes
211,No,Yes,Yes,Yes
212,No,Yes,No,No
213,No,Yes,Yes,Yes
214,No,Yes,Yes,Yes
215,No,Yes,No,No
216,No,Yes,Yes,Yes
217,No,Yes,Yes,No
218,No,Yes,Yes,No
219,No,Yes,Yes,Yes
220,No,Yes,Yes,Yes
221,No,Yes,Yes,Yes
222,No,Yes,Yes,Yes
223,No,Yes,No,No
224,No,Yes,No,No
225,No,Yes,Yes,Yes
226,No,No,Yes,No
227,No,No,Yes,No
228,No,No,Yes,No
229,No,No,Yes,Yes
230,No,No,Yes,No
231,No,No,Yes,No
232,No,No,Yes,Yes
233,No,No,Yes,No
234,No,No,Yes,No
235,No,No,Yes,No
236,No,No,Yes,No
237,No,No,Yes,No
238,No,No,Yes,No
239,No,No,Yes,No
240,No,No,Yes,No
241,No,No,Yes,No
242,No,No,Yes,Yes
243,No,No,Yes,No
244,No,No,Yes,No
245,No,No,Yes,No
246,No,No,Yes,No
247,No,No,Yes,No
248,No,No,Yes,Yes
249,No,No,Yes,No
250,No,No,Yes,No
251,No,No,Yes,No
252,No,No,Yes,Yes
253,No,No,Yes,Yes
254,No,No,Yes,No
255,No,No,Yes,Yes
256,No,No,Yes,Yes
257,No,No,Yes,Yes
258,No,No,Yes,No
259,No,No,Yes,Yes
260,No,No,Yes,Yes
261,No,No,Yes,Yes
262,No,No,Yes,Yes
263,No,No,Yes,No
264,No,No,Yes,No
265,No,No,Yes,No
266,No,No,Yes,No
267,No,No,Yes,No
268,No,No,Yes,Yes
269,No,No,Yes,Yes
270,No,No,Yes,Yes
